[ QA Check & Talk Point ],,,,,,
No.,목차,Check Point,,Talk (example),,,고객예상질문1,고객예상질문2,고객예상질문3
,,9. 최저 상환금액 발생 시 안내,,"기존에 사용 중인 대출 원금의 일부와 이자 000원 상환 후 감액 처리 가능하며, 이 금액은 이자가 매일 변동되기 때문에 입금 가능한 일자에 연락주셔서 확인 후 입금 부탁 드립니다.",,,보험계약대출 신청은 어떻게 진행하면 되나요?,이자 계산 기준과 상환 조건을 알려주세요.,대출금 지급까지 소요되는 시간은 얼마인가요?
,,10. 증권 자동 재 발행 안내,,"감액(또는 특약삭제)이 완료되면, 재발행 된 증권을 바로 확인하실 수 있는 링크가 휴대폰 문자로 발송 됩니다~
(AIA+ 로그인 > 증명서신청클릭 > 가입증서발행확인 클릭 > 증권확인 가능(비밀번호 '생년월일' 입력))",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
43,갱신 불원,1. 총 가입 건 수 안내 및 해당 계약건 확인,,고객님 앞으로 된 계약이 총 O건으로 확인 되는데요. 이 중에서 OOO갱신보험(갱신 특약) 말씀이십니까?,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 갱신불원 신청 가능기간 확인 (차후 접수할 경우 가능기간 안내),,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,3. 갱신불원 요청 사유 확인 및 1차 반려 ,,"실례지만, 갱신을 원치 않으시는 사유를 여쭤봐도 될까요? (사유에 맞는 반려)",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,4. 갱신불원 신청 접수 시 만기일자 안내,,"OO년 OO월 OO일까지 보험기간이 만료 될 예정이고요, 그 후에는 보험기간이 갱신되지 않아, 
보험의 효력이 없음을 알려 드립니다. ",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
44,"(면대면채널)
펀드변경",1. 총 가입 건 수 안내 및 해당 계약건 확인,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,"2. 변경 항목(펀드, 투입비율, 자동재배분) 및 비율 확인",,"고객님, 현재는 000형 펀드 100%로 설정 되어있는데요, 어떻게 변경하실 예정이세요?",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,3. 본인인증 방법 안내,,본인인증 스크립트 참조,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경된 내용은 언제부터 반영되나요?
,,"4. 변경 전, 후 내용 재확인 & 문자발송 안내",,스크립트 참조,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,"5. 적용 기준가(종가), 투입일 안내",,"변경 완료 시 펀드(적립금이전)변경 사항은 00일 종가(신청일+3영업일 종가)로 00일에 투입 되고, 펀드투입비율 변경은 오늘 중으로 처리 될 예정이며, 처리 즉시 적용되겠습니다. ",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
45,민원,1. 정확한 민원 요청 사유 확인 및 1차 반려 시도,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 기납입 보험료 반환시 FATCA/CRS 확인 ,,"실례지만, 고객님 국적이 어떻게 되십니까? 
(내국인인 경우) 혹시, 다른 나라에 세금을 납부하는 것이 있으십니까?",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,2-1. 기납입 보험료 반환시 Black List & CDD & 실제 소유자 확인,,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?
고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 고객님 맞으시죠? (재질의 시 ""고객님 본인 의지로 계약을 하신게 맞으시죠 타인을 대리하시는게 아니시죠?)
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,3. SMS 수신 동의 여부 체크,,"불편사항(민원) 접수 진행 과정을 휴대폰 문자 메시지로 받아보시겠습니까?(yes) 
당사에 등록된 번호로 보내 드리면 되겠습니까? ",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,변경 반영은 언제부터 확인할 수 있나요?
,,"
4. 소요기간 안내
  ",,"민원 결과가 확인되기 까지는 평일 기준 약 14일이 소요되며, 후속조치가 필요한 경우에는 전화로 안내 해 드리고, 그렇지 않을 경우 해당부서에서 전화나 우편을 통해 안내 해 드리도록 하겠습니다",,,이 업무는 어떻게 신청하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"5. (기납입 보험료 반환, 카드납 요청시)자동이체 유지 의사 확인",,"현재 보험료를 매월 자동이체로 납입 중이신데요, 민원접수 결과가 나오기 전까지는 OO일에 자동이체 계좌에서 출금이 될 예정입니다.
(납입정지 요청시) 최종 납부 월은 O월이며, O월부터는 고객님의 계좌에서 출금되지 않기 때문에 혹시라도 O월 분 보험료가 O월 O일까지 미납 될 경우 다음 달 1일자로 해당 보험 계약의 효력이 상실됩니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,6. 우편물 수령지와 연락처 확인 ,,"민원 결과에 대한 전달은 현재 등록되어 있는 OO주소 / 휴대폰 으로 연락 드리면 될까요?
",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
46,재고지 접수/보완,1. 총 계약 건 수 안내 및 해당 계약 건 확인(실효 상태에서는 재고지 접수 불가),,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,통신채널,면대면채널,통신채널,면대면채널,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 고지사항 및 가능여부 확인,"2. 고지사항 및 가능여부 확인
(변액 상품 건강/자필서명 재고지 모두 신청 불가)",,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,"3. 재고지 접수 결과에 따라 승낙 or 해지 될 수 있고, 소견서나 진단서 등의 서류 제출이 요청 될 수 있으며 부담보 설정 될 수 있음 안내",,"3. 재고지 심사결과에 따라 승낙되거나 해지 될 수 있고, 소견서나 진단서 등의 서류 제출이 요청 될 수 있으며 부담보 설정이 될 수 있습니다",,,해지/취소 신청은 어떻게 하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,환급금 지급 시점과 공제 항목을 알려주세요.
,,,3. 신청방법 및 서류 안내,,"3. 병력재고지는 전화상으로 신청이 어렵고, 방문(본사,부산고객플라자), 우편을 통해 신청이 가능합니다. 어떤 방법으로 안내 해 드릴까요?",,,,
,,4. 재고지 접수 결과 거절 될 경우 반환 받을 계약자 본인 명의 계좌 및 국적 & Black List  확인(카드승인 건도 현금반환),,"4. 심사결과 만약 해지가 될 경우 해지환급금(또는 기납입보험료) 지급받으실 계약자님의 본인 계좌 확인 부탁 드립니다
(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"5. 진단명, 발병시기, 치료기간, 치료방법, 완치여부, 현재상태 확인 ",4. 건강 고지 내용에 따라 추가 미결 보완 가능하며 결과에 따라 인수 여부 결정 됨 안내,5. 스크립트 참조,"4. 건강 고지에 내용에 따라 현 상태 진단서 또는 당시 치료확인서가 필요할 수 있고, 결과에 따라 계약 인수 여부가 결정되는 점 양해 부탁 드립니다.",,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
,,6. 추가 서류 요청 시 재고지 신청일로부터 +25일째 되는 날 오전에 반송 되므로 +20일 이내 미결보완 안내,,6. 소견서(진단서) 제출이 요청되었습니다. OO월OO일까지 보내 주셔야 하는데 가능하십니까?,,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
47,"실손보험 의료급여
",1. 총 계약 건 수 안내 및 실손 보험 가입 여부 확인,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 신청 방법 및 제출 서류 안내,,보험대상자 OOO님의 의료급여 수급권자임을 증명하는 의료급여증(의료보호/의료급여1종/의료급여2종 등) 사본 (or 휴대폰 MMS) 보내 주시면 보험료의 5% 할인을 받을실 수 있습니다.,,,주소나 연락처 변경은 어떻게 진행하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,"3. 반제금 발생 시, 지급계좌 확인(할인 취소 시 추징금 발생가능_입금방법 안내)
3-1. 계좌 즉시출금 시 금결원 녹취 전송멘트",,"수급권자 취득일자를 말씀 헤 주시면 확인이 가능한데요, 지금 바로 확인 가능하실까요? 
(반제금 발생시) 보험료 차액분을 반환받으실 수 있는 고객님 본인명의의 계좌번호와 은행명을 말씀 해 주시겠습니까?
(추징금 발생시)
[계좌 RTB건_ 금융결재원 녹취 전송]
즉시출금 확인을 위한 ARS를 연결 해드리겠습니다. 요청하신 정보가 맞으면 1번 동의를 누르신 후 잠시 기다려 주시기 바랍니다. -> ARS연결
※ ARS사용 불가 시 녹취로 대체
   AIA생명에서 출금하는 계좌를 예금주 000님의 00은행, --------번 계좌로 요청하셨습니다. 맞으십니까? (YES 답변 필수)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"
4.Black list 검증 대상자의 국적 및 영문명
4-1. CDD & 실제 소유자 확인",,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?
고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호,만료일자 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 고객님 맞으시죠? (재질의 시 ""고객님 본인 의지로 계약을 하신게 맞으시죠 타인을 대리하시는게 아니시죠?)
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,5. 증권 자동 재 발행 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
48,"헬스케어 
서비스
",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,고객님께서 가입한 000상품에 제공되는 부가서비스입니다.,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 헬스케어 서비스 유지조건 안내,,"[대면채널]
해당 보험을 정상적으로 유지하는 기간동안 계속 헬스케어 서비스를 제공 받으실 수 있습니다. 
다만, 유지 중 주계약 보험가입금액을 5천만원 미만으로 줄이거나(감액), 계약 해지, 2개월 연속 보험료 미납으로 보장을 받지 못하는 상태가(실효) 될 경우에는 서비스가 해지됩니다.  
(단, 부활 시 재신청 접수 후 서비스 유지 가능/ 자동부활은 재신청 접수 없이 유지 가능)
[통신채널]
이 서비스는 해당 상품의 계약일로부터 1년 이내에 신청이 가능하며, 서비스 제공은 계약일로부터 5년까지만 제공 됩니다. 
(승낙 후 유지 시 제공되며, 해당 계약을 여러 건 가입 시 유지 중인 최종 보험계약일로부터 5년까지 제공)
※ 암특화 헬스케어 서비스 : 유지 중 신청 가능 & 채널무관 유지기간 중 헬스케어 가능",,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,3. 신청 방법 안내  ,,"[대면채널]
네~ 전화 상으로도 신청 가능합니다. 당사 양식의 신청서를 작성 하시고, 주피보험자 신분증과 함께 저희 고객센터 팩스(또는 휴대폰 MMS)로 보내 주시면 됩니다. 
(신청서는 주피보험자가 동의 체크 후 서명)
※ 신청서 양식을 받아 보는데 불편함을 호소하는 경우, 음성 녹취로 접수 
[통신채널] 
① 문자가입 or ② 고객센터 유선 가입 가능 
",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,※ 헬스케어서비스 제공 중인 보험계약의 감액 및 계약해지 처리 시 헬스케어서비스 취소됨 필수 안내   ,,헬스케어서비스 신청중 입니다. (감액/해지) 처리 시 헬스케어서비스는 취소 됩니다.,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
49,"
연금전환서비스
",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,변경 또는 신청 후 적용 시점은 언제인가요?
,,2. 연금전환 가능 상품 및 조건 확인 후 안내 ,,"고객님께서 계약하신  OO보험이 연금전환 가능한 상품인데요, ~ 인 경우 신청 가능한 서비스 입니다.",,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,변경 또는 신청 후 적용 시점은 언제인가요?
,,3. 신청 방법 안내  ,,"고객님, 연금 전환은 마스터플래너 방문 접수 (또는 본사플라자, 부산플라자 내방)를 통해 신청 가능 합니다. ",,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,변경 또는 신청 후 적용 시점은 언제인가요?
50,"(통신채널)
신계약 미결",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 미결내용 확인 후 안내,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,3. 계약일 +25일째 되는 날 반송 되므로 +20일 이내 미결보완 안내,,고객님 가입하신 OO보험이 심사가 아직 결정되지 않은 상태로 진단서 제출이 요청되었습니다. 혹시 OO일까지 발송 가능 하십니까?,,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
51,"(면대면채널)
MP 이관 ",1. 총 계약 건 수 안내 및 해당 계약건 확인,,어떤 계약건의 설계사(마스터플래너) 변경을 원하시는 걸까요?,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,"※ MP이관 거절 가능 건, 민원접수 건의 경우 1차 반려 
※ MP활동 건 이관 사유 탐색 및 1차 반려",,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 이관을 원하는 MP 확인   ,,변경 원하는 설계사(마스터플래너)의 근무 지점과 이름 말씀해주시겠어요?,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,3. 소요 기간 안내,,"접수 완료 되었으며, 약 한 달 정도 걸릴 수 있습니다. ",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
52,"(면대면채널) 
연장 정기",1. 총 계약 건 수 안내 및 해당 계약건 확인,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 신청 가능 조건 및 방법 안내 ,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,3. 자동이체 해지 안내,,보험료 완납처리 되므로 자동이체는 해지 해드릴까요?,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,4. 특약 보장 안됨,,특약은 해지처리 되므로 이 후 특약에 대한 보장은 가능하지 않습니다,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,5. 변경된 보험기간 보장 적용기간 안내,,연장 정기 신청 시 보장기간은 OO년으로 변경됩니다,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,6. 프라임평생설계 1형 자유설계자금 없음,,자유설계자금은 지급되지 않습니다,,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
53,"(면대면채널)  
감액 완납",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 신청 가능 조건 및 방법 안내 ,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,3. 자동이체 해지 안내,,보험료 완납처리 되므로 자동이체는 해지해 드릴까요?,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,4. 특약 보장 안됨 안내,,특약은 해지처리 되므로 이 후 특약에 대한 보장은 가능하지 않습니다,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,5. 변경된 주계약 가입 금액으로 보험기간 까지 보장 가능 안내,,보장기간은 기존과 동일하나 주계약 보장금액이 OO원으로 변경됩니다,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,6. 프라임 평생설계 1형 자유설계자금 있음,,자유설계자금은 주계약에 비례하여 감소된 금액으로 지급됩니다,,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
54,"비 흡연 할인 특약
",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,2. 신청 가능 조건 확인  ,,"말씀하신 계약의 보험대상자인 OOO님께서는 최근 1년 이상 어떤 형태로든 담배를 (피우거나, 씹거나 기타 유사한 형태)를 사용하지 않으셨습니까? (yes)",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,3. 비흡연할인 적용 시 변경될 보험료 및 반제금 안내,,"비흡연할인 적용 시 보험료는 000원에서 000원으로 할인되며, 반환 받으실 금액은 000원 입니다. ",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,4. 신청 방법 안내 ,,"흡연질문서 작성 후, 저희 고객센터 팩스(또는 휴대폰 MMS)로 보내 주시면 접수 가능 합니다.  ",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,변경 반영은 언제부터 확인할 수 있나요?
,,"
5.Black list 검증 대상자의 국적 및 영문명
5-1. CDD & 실제 소유자 확인",,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?
고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호,만료일자 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 고객님 맞으시죠? (재질의 시 ""고객님 본인 의지로 계약을 하신게 맞으시죠 타인을 대리하시는게 아니시죠?)
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,6 . 반환계좌 확인,,"비흡연 할인 적용 시, 반환금액을 받으실 고객님 본인 명의 계좌번호와 은행명 말씀해 주시겠습니까?",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,7. 접수 및  니코틴 방문 진단 안내,,"접수가 완료되면 니코틴 해당병원에 방문 진단을 받으실 수 있도록 조치 해드리게 됩니다. (검사비 당사 부담)
그리고 방문 검사 결과에 따라 심사 여부가 결정 되는데, 혹시 거절되는 경우 고객님께 다시 연락 드리겠습니다. ",,,보험금 청구 접수는 어떻게 하면 되나요?,진단서 등 필요 서류 기준을 구체적으로 알려주세요.,심사와 지급까지 예상 기간은 어떻게 되나요?
,,8. 증권 자동 재 발행 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
55,"(면대면채널)
연금신청
",1. 총 계약 건 수 안내 및 해당 계약 건 확인,,,,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,변경 또는 신청 후 적용 시점은 언제인가요?
,,"2. 연금 발생여부, 도래일자, 지급여부 선 확인 후 안내",,"고객님께서 가입하신  OO보험이 xx년 xx월 xx일로 연금개시가 되었고요, 매월(지급방식) 지급 받으시는 걸로 설정되어 현재 연금액 000,000원이 발생  하였습니다.",,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"본인인증 진행 
※ 2000만원 초과 시 휴대폰 인증 필수",,"혹시 고객님 사용하시는 휴대폰이 본인 명의이세요? (yes)
금융사고 예방을 위해 고객님 명의의 휴대폰을 통한 본인 인증 후 업무처리 진행을 해드릴텐데요~
먼저, 휴대폰본인확인 서비스 이용과 관련하여 고객님의 정보를 수집.이용.취급위탁하고, 고유식별정보를 처리 하는 것에 동의 하십니까? (동의 필수)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경 반영은 언제부터 확인할 수 있나요?
,,3. FATCA/CRS 확인,,"실례지만, 고객님 국적이 어떻게 되십니까? 
(내국인인 경우) 혹시, 다른 나라에 세금을 납부하는 것이 있으십니까?",,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,변경 또는 신청 후 적용 시점은 언제인가요?
,,4. Black list 검증 대상자의 국적 및 영문명 확인 ,,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?",,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,변경 또는 신청 후 적용 시점은 언제인가요?
,,5. CDD & 실제 소유자 확인,,"고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호, 만료일자 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 고객님 맞으시죠? (재질의 시 ""고객님 본인 의지로 계약을 하신게 맞으시죠 타인을 대리하시는게 아니시죠?)
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"6 지급 계좌 확인 
※ 약관대출금 존재 시, 최저상환금(원금+이자)공제 후 지급됨 안내",,"지급 받으실 계좌와 은행 명 말씀 부탁 드립니다. 
※ 약관대출금 존재 시, 최저상환금(원금+이자)공제 후 지급됨 안내",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"7. 접수완료 후, 지급시간 안내 ",,"접수 완료 되었고, O시간 이내에 지급될 예정입니다. ",,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,※ 자동송금 등록안내 ,,"그리고, 고객님 이후부터는  매번 연금 신청하실 필요없이, 자동으로 받아보실 수 있도록 자동송금을 신청 해드릴까요? 
->자동송금 요청 시 등록 ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
